open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1759863600000,120838.00,122000.00,120801.60,121593.60,8700.790,1759867199999,1056810404.73440,198629,5321.458,646483746.07440,0
1759867200000,121593.50,122142.60,121593.50,121885.40,3624.456,1759870799999,442158931.33630,106973,1856.612,226489052.96640,0
1759870800000,121885.40,122255.40,121710.90,121954.10,3058.192,1759874399999,373015068.17540,85960,1414.534,172574193.20320,0
1759874400000,121954.00,122134.80,121735.20,121956.80,1987.061,1759877999999,242235983.18370,75033,887.000,108137601.49470,0
1759878000000,121956.80,121961.10,121218.00,121286.50,4412.152,1759881599999,536274696.95830,120471,1803.752,219206962.72300,0
1759881600000,121286.60,122042.00,121219.00,121868.90,6392.236,1759885199999,778070910.40960,160756,3746.973,456003922.84380,0
1759885200000,121868.90,122011.80,121550.10,121911.30,4292.439,1759888799999,522985898.81410,143511,2555.394,311354305.29640,0
1759888800000,121911.30,122196.90,121761.30,121995.00,3485.274,1759892399999,425143697.04920,101455,1776.152,216655890.12760,0
1759892400000,121995.10,121995.10,121137.00,121333.10,5519.010,1759895999999,670466861.49620,144138,2428.543,295005532.48120,0
1759896000000,121333.10,121880.00,121005.30,121865.40,4410.095,1759899599999,535718029.30130,129384,2667.978,324150363.80660,0
1759899600000,121865.40,121868.30,121124.20,121338.00,5142.052,1759903199999,624465913.62950,127114,2349.246,285267515.11990,0
1759903200000,121338.10,121814.00,121020.00,121749.00,3514.474,1759906799999,426563144.63970,102620,1961.323,238048480.63680,0
1759906800000,121749.10,121836.60,121272.70,121550.40,3075.210,1759910399999,373756931.29030,105840,1317.492,160101907.14490,0
1759910400000,121550.50,122820.00,121468.50,122332.60,9934.071,1759913999999,1215034291.83300,200662,5814.652,711121246.97660,0
1759914000000,122332.70,122600.00,122324.50,122485.00,3783.259,1759917599999,463321617.01270,108481,2141.785,262299585.54180,0
1759917600000,122485.00,123074.80,122449.90,122885.70,5013.814,1759921199999,615633402.82090,140545,2773.317,340563243.37980,0
1759921200000,122885.70,123150.00,122672.80,122825.70,3958.072,1759924799999,486583303.10810,111082,1670.343,205377195.47400,0
1759924800000,122825.80,123009.60,122478.90,122580.30,3938.915,1759928399999,483335242.84710,111989,1582.051,194131873.90800,0
1759928400000,122580.20,122729.80,121607.80,122540.40,9406.952,1759931999999,1149492012.14630,261028,4330.259,529181714.59100,0
1759932000000,122540.40,123312.90,122043.10,122268.40,12871.926,1759935599999,1579890371.71310,336082,7188.714,882468619.28490,0
1759935600000,122268.30,122577.90,121888.00,122140.10,4202.333,1759939199999,513573987.40010,174457,1961.933,239788494.70810,0
1759939200000,122140.10,123088.00,122055.80,122999.90,5578.520,1759942799999,684073011.79890,171532,3357.172,411634195.51570,0
1759942800000,122999.90,124170.60,122903.80,123985.50,12587.436,1759946399999,1556559765.83410,296809,7032.837,869667861.46150,0
1759946400000,123985.50,124169.20,123359.70,123389.80,6491.498,1759949999999,802948966.44950,206765,2921.551,361364389.78860,0
1759950000000,123389.80,123690.00,123095.00,123381.80,4991.059,1759953599999,615873176.25360,143140,2444.250,301622615.31550,0
1759953600000,123381.80,123671.50,122757.50,122784.60,3554.340,1759957199999,438043407.02020,103652,1718.624,211885330.39990,0
1759957200000,122784.60,123272.20,122739.70,123231.40,2193.237,1759960799999,269927799.69070,63103,1107.348,136296678.62740,0
1759960800000,123231.50,123362.90,123126.10,123126.10,1085.748,1759964399999,133825472.25520,43301,456.849,56311832.54470,0
1759964400000,123126.00,123475.30,122981.20,123237.50,1677.816,1759967999999,206805754.44200,58093,831.667,102518703.23430,0
1759968000000,123237.40,123279.70,122782.00,122782.00,2259.548,1759971599999,277951026.71080,77206,1004.494,123561729.13810,0
1759971600000,122782.00,122806.00,122272.70,122496.60,4263.072,1759975199999,522274816.72520,126252,2151.411,263574158.61930,0
1759975200000,122496.50,122496.60,121411.80,121573.20,7100.068,1759978799999,865209107.23720,176248,3299.792,402152643.49780,0
1759978800000,121573.20,122080.70,121558.80,121988.40,3850.339,1759982399999,469286059.04410,107978,2554.373,311315886.63860,0
1759982400000,121988.40,122221.00,121845.20,122087.60,2983.305,1759985999999,364061633.81950,87613,1612.787,196816163.39980,0
1759986000000,122087.60,122150.40,121762.20,122052.60,3025.849,1759989599999,368947593.90660,81058,1397.498,170400905.97750,0
1759989600000,122052.60,122139.10,121810.40,121900.40,2300.599,1759993199999,280592866.94890,71592,988.681,120584635.38870,0
1759993200000,121900.30,122006.70,121657.30,121847.90,2381.687,1759996799999,290168391.35930,75028,968.473,117993226.77470,0
1759996800000,121847.80,121909.70,121081.50,121202.40,8228.417,1760000399999,999042039.61360,196315,3946.217,479136348.60020,0
1760000400000,121202.40,121790.00,121202.40,121753.30,3968.581,1760003999999,482540515.50000,117343,2125.640,258431034.30560,0
1760004000000,121753.40,122287.20,121591.40,122106.20,4106.878,1760007599999,500986110.23670,109913,2184.175,266458635.37090,0
1760007600000,122106.10,122777.00,122106.10,122672.90,4954.179,1760011199999,607058876.99750,123384,2578.136,315879219.85660,0
1760011200000,122673.00,123740.10,122640.30,123500.00,11060.066,1760014799999,1362691016.87990,213291,5572.538,686612249.22290,0
1760014800000,123500.00,123598.80,122227.70,122357.00,12854.585,1760018399999,1580255879.66910,301473,4769.751,586365941.53750,0
1760018400000,122357.00,122533.40,120666.90,121235.10,28413.276,1760021999999,3454761044.25350,544242,11912.204,1448507741.81310,0
1760022000000,121235.10,121663.00,120595.50,121079.40,10189.341,1760025599999,1234075065.25520,261051,5353.495,648538696.33280,0
